eval_spend,eval_tiles,eval_armies,eval_s_spend,eval_s_tiles,iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,bc_kl,adv_mean,adv_std
nan,nan,nan,nan,nan,153,293775,8028.8,136,10568.602333333334,11811.067111111113,22.0,2.0,0.0043,175.4517,2.9749,0.0064,0.0605,307,0.2655,6.3491,11.7464
nan,nan,nan,nan,nan,154,303626,8282.2,140,10836.708666666666,11300.587444444443,24.0,1.0,0.0036,107.8766,3.1104,0.0056,0.0735,308,0.2668,5.2647,9.0945
nan,nan,nan,nan,nan,155,312216,8490.6,144,11853.083000000002,10279.712444444445,25.0,7.0,0.0108,192.7488,2.6724,0.0118,0.1519,269,0.2581,10.7337,9.0349
nan,nan,nan,nan,nan,156,323344,8756.7,148,7318.841333333333,8334.500666666665,13.0,5.0,0.0058,162.9072,3.3385,0.0084,0.1304,348,0.2618,-7.1928,10.6873
nan,nan,nan,nan,nan,157,332027,8975.6,152,15066.870666666666,9345.98988888889,33.0,11.0,0.0071,523.5174,2.8711,0.0083,0.1002,272,0.32,10.1462,20.6551
nan,nan,nan,nan,nan,158,339861,9160.9,156,7256.035666666667,9388.966444444444,12.0,1.0,0.0062,225.3882,2.5304,0.0102,0.0962,245,0.3325,1.2778,15.0899
nan,nan,nan,nan,nan,159,348662,9379.0,160,8471.745666666668,8388.182222222224,23.0,6.0,0.0059,55.6742,2.5912,0.0083,0.0916,276,0.2498,2.4538,7.1747
12269.515833333337,9.5,6.5,16812.335,25.0,160,357396,9588.5,164,8544.743,8879.264555555557,19.0,2.0,0.0095,29.431,2.5619,0.0126,0.1129,273,0.2835,-0.197,5.5458
nan,nan,nan,nan,nan,161,366097,10078.6,168,10381.732666666667,8894.10588888889,25.0,3.0,0.004,13.0056,2.687,0.0099,0.0845,272,0.2783,-0.978,3.5962
nan,nan,nan,nan,nan,162,375120,10300.0,172,11994.641333333331,9516.254666666666,21.0,3.0,0.0085,34.5369,2.639,0.012,0.1302,282,0.2989,0.364,5.9943
nan,nan,nan,nan,nan,163,384376,10519.9,176,7877.142333333332,8642.913666666665,14.0,0.0,0.0038,59.9004,2.8092,0.0077,0.0821,290,0.3024,-2.1768,7.5476
nan,nan,nan,nan,nan,164,395090,10779.3,180,8364.618666666667,10617.58411111111,12.0,2.0,0.0081,198.0187,3.3201,0.0145,0.1552,335,0.2635,1.2071,14.1544
nan,nan,nan,nan,nan,165,405662,11033.0,184,12627.763333333336,10506.990444444446,27.0,3.0,0.0028,98.9302,3.217,0.0085,0.0942,331,0.3189,-1.1118,9.9879
nan,nan,nan,nan,nan,166,413686,11227.6,188,8627.468666666668,8193.088666666668,23.0,5.0,0.0057,22.4418,2.5949,0.0098,0.0918,251,0.3023,-0.7677,4.7888
nan,nan,nan,nan,nan,167,423162,11466.3,192,15717.811666666665,12088.952888888889,25.0,8.0,0.0124,188.6787,3.0153,0.0142,0.1791,297,0.3027,9.32,10.2295
nan,nan,nan,nan,nan,168,430733,11645.8,196,9906.544666666667,8654.01988888889,20.0,6.0,0.0038,39.4358,2.5321,0.0095,0.0808,237,0.2951,-2.2534,6.0134
nan,nan,nan,nan,nan,169,439654,11868.9,200,9352.208333333336,10074.070000000002,23.0,5.0,0.0021,55.2803,2.8233,0.0065,0.0811,279,0.2663,4.3712,6.156
8120.370666666666,7.0,4.5,13031.534666666665,22.5,170,450398,12136.2,204,11452.001666666669,10236.639222222222,23.0,3.0,0.0103,72.7609,3.3461,0.0129,0.1432,336,0.2706,-4.4924,7.4252
nan,nan,nan,nan,nan,171,459297,12518.4,208,10888.455999999996,9488.453555555554,22.0,6.0,0.0028,30.0491,2.8803,0.0067,0.0746,279,0.2949,2.5316,5.0081
nan,nan,nan,nan,nan,172,469833,12778.9,212,16300.116999999998,10337.991777777777,29.0,14.0,0.0094,102.2743,3.2208,0.0111,0.1318,330,0.3107,1.9623,10.0497
nan,nan,nan,nan,nan,173,478999,13001.8,216,10772.688333333335,8802.916444444445,25.0,6.0,0.0068,19.3004,2.7457,0.0087,0.0919,287,0.3007,0.4955,4.4949
nan,nan,nan,nan,nan,174,488499,13239.2,220,9819.256,9150.908555555556,22.0,6.0,0.0046,61.0753,2.9591,0.0095,0.1236,297,0.2635,-3.2119,7.2542
nan,nan,nan,nan,nan,175,496995,13447.4,224,6731.645666666667,9639.514666666668,18.0,0.0,0.0054,60.3485,2.7345,0.0071,0.0928,266,0.294,-0.1282,7.8906
nan,nan,nan,nan,nan,176,505466,13652.6,228,9681.339333333332,7597.9444444444425,14.0,1.0,0.0061,80.1488,2.7043,0.0099,0.1098,265,0.2823,-6.2039,6.6485
nan,nan,nan,nan,nan,177,514289,13866.6,232,7585.289000000001,9017.844111111111,22.0,5.0,0.0051,30.3035,2.7812,0.0091,0.1252,276,0.2993,1.0845,5.5422
nan,nan,nan,nan,nan,178,522333,14064.0,236,7876.984333333333,7763.110111111112,14.0,1.0,0.0086,56.7586,2.7738,0.0113,0.1486,252,0.2976,-3.859,6.6213
nan,nan,nan,nan,nan,179,532397,14309.5,240,8396.086,9927.705666666667,28.0,3.0,0.0026,21.6967,3.1655,0.0121,0.0987,315,0.299,-1.0456,4.6692
11704.291333333334,9.0,4.5,15410.128,19.5,180,542377,14549.5,244,7925.098333333333,9744.680222222223,16.0,3.0,0.0039,17.5238,3.1685,0.0113,0.1069,312,0.2897,-2.5473,3.5016
nan,nan,nan,nan,nan,181,552556,15086.0,248,10511.256333333333,10131.196777777777,26.0,3.0,0.0086,38.118,2.9795,0.0125,0.1908,319,0.2833,3.4353,5.2959
nan,nan,nan,nan,nan,182,560785,15281.1,252,8041.036333333333,7818.318111111111,17.0,1.0,0.0068,26.0358,2.7889,0.0136,0.1385,258,0.3111,-3.4629,3.9332
nan,nan,nan,nan,nan,183,570923,15543.8,256,7639.750333333333,9124.621444444445,29.0,4.0,0.0073,72.0405,3.3416,0.0093,0.0798,317,0.2955,-3.9869,7.6125
nan,nan,nan,nan,nan,184,579371,15752.2,260,4597.255999999999,9702.152333333332,5.0,0.0,0.0083,384.6352,2.9572,0.0125,0.1455,264,0.2905,6.3987,18.6867
nan,nan,nan,nan,nan,185,588109,15965.8,264,5385.3573333333325,8870.468444444445,5.0,0.0,0.0082,143.9787,2.8797,0.0094,0.0837,274,0.2763,3.6219,11.6009
nan,nan,nan,nan,nan,186,598081,16210.2,268,8254.077,8042.817999999999,24.0,4.0,0.0063,46.8504,3.06,0.0093,0.1103,312,0.2985,-4.3461,5.4609
nan,nan,nan,nan,nan,187,607609,16448.0,272,10827.365666666668,11377.529444444444,33.0,4.0,0.0063,144.3351,2.9893,0.0095,0.1168,298,0.2762,6.5442,10.2049
nan,nan,nan,nan,nan,188,617316,16676.7,276,8122.583666666667,8506.599777777776,16.0,2.0,0.0034,21.0564,2.9942,0.0133,0.105,304,0.2506,-1.9949,4.2651
nan,nan,nan,nan,nan,189,626838,16926.6,280,8700.871666666666,9660.500333333333,25.0,3.0,0.0035,31.7784,2.9254,0.0109,0.1234,298,0.2581,3.6359,4.485
