设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_candx100_gpu/ep400.pt（缺失 0 项）
续训自 rl/runs/bc_candx100_gpu/ep400.pt（第 0 块）
★地图池：802 张（难度已筛）  从第 0 张接着数
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=16 | env_steps=119294 | secs=3117.600 | episodes=64 | last_spend=10621.753 | mean_spend=9363.674 | last_tiles=20.000 | last_armies=7.000 | pg=0.011 | vf=259.479 | ent=2.231 | kl=0.018 | clipfrac=0.157 | n=234 | bc_kl=0.132 | adv_mean=10.212 | adv_std=12.659
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=17 | env_steps=126879 | secs=3306.200 | episodes=68 | last_spend=8562.998 | mean_spend=11141.794 | last_tiles=20.000 | last_armies=5.000 | pg=0.017 | vf=589.485 | ent=2.513 | kl=0.025 | clipfrac=0.228 | n=238 | bc_kl=0.149 | adv_mean=16.985 | adv_std=17.595
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=18 | env_steps=134629 | secs=3500.500 | episodes=72 | last_spend=10244.627 | mean_spend=7176.719 | last_tiles=15.000 | last_armies=7.000 | pg=0.008 | vf=394.930 | ent=2.316 | kl=0.016 | clipfrac=0.169 | n=243 | bc_kl=0.164 | adv_mean=-3.124 | adv_std=19.797
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=19 | env_steps=144827 | secs=3748.800 | episodes=76 | last_spend=7416.697 | mean_spend=9288.026 | last_tiles=20.000 | last_armies=4.000 | pg=0.008 | vf=301.953 | ent=2.481 | kl=0.020 | clipfrac=0.172 | n=319 | bc_kl=0.163 | adv_mean=-3.144 | adv_std=17.245
eval_spend=9596.421 | eval_tiles=9.000 | eval_armies=2.500 | eval_s_spend=9894.341 | eval_s_tiles=16.500 | iter=20 | env_steps=153227 | secs=3949.800 | episodes=80 | last_spend=9441.721 | mean_spend=9780.788 | last_tiles=17.000 | last_armies=4.000 | pg=0.006 | vf=247.365 | ent=2.366 | kl=0.011 | clipfrac=0.131 | n=263 | bc_kl=0.168 | adv_mean=11.225 | adv_std=11.237
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=21 | env_steps=160578 | secs=4253.100 | episodes=84 | last_spend=11795.493 | mean_spend=11290.579 | last_tiles=26.000 | last_armies=9.000 | pg=0.010 | vf=845.834 | ent=2.164 | kl=0.015 | clipfrac=0.159 | n=230 | bc_kl=0.184 | adv_mean=23.390 | adv_std=17.548
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=22 | env_steps=167717 | secs=4429.800 | episodes=88 | last_spend=9441.996 | mean_spend=9869.559 | last_tiles=23.000 | last_armies=7.000 | pg=0.007 | vf=282.013 | ent=2.060 | kl=0.009 | clipfrac=0.095 | n=224 | bc_kl=0.178 | adv_mean=12.109 | adv_std=11.840
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=23 | env_steps=174569 | secs=4598.900 | episodes=92 | last_spend=10174.092 | mean_spend=9363.481 | last_tiles=17.000 | last_armies=8.000 | pg=0.006 | vf=227.542 | ent=2.028 | kl=0.012 | clipfrac=0.121 | n=215 | bc_kl=0.180 | adv_mean=11.393 | adv_std=10.144
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=24 | env_steps=183012 | secs=4804.900 | episodes=96 | last_spend=11666.168 | mean_spend=11281.889 | last_tiles=21.000 | last_armies=0.000 | pg=0.005 | vf=526.604 | ent=2.537 | kl=0.013 | clipfrac=0.142 | n=264 | bc_kl=0.194 | adv_mean=16.540 | adv_std=16.119
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=25 | env_steps=190365 | secs=4986.600 | episodes=100 | last_spend=12979.580 | mean_spend=10286.484 | last_tiles=23.000 | last_armies=10.000 | pg=0.010 | vf=625.463 | ent=2.221 | kl=0.013 | clipfrac=0.138 | n=230 | bc_kl=0.212 | adv_mean=16.649 | adv_std=18.859
