设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_ep400.pt（缺失 0 项）
（含优化器状态）
续训自 rl/runs/ppo_resume.pt（第 98 块）
（训练图种子接着数：0）
★地图池：802 张（难度已筛）  从第 392 张接着数
（含回报归一化状态）
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=114 | env_steps=136751 | secs=3636.200 | episodes=64 | last_spend=6847.690 | mean_spend=9626.052 | last_tiles=21.000 | last_armies=4.000 | pg=0.006 | vf=223.896 | ent=2.402 | kl=0.012 | clipfrac=0.114 | n=236 | bc_kl=0.239 | adv_mean=4.206 | adv_std=14.487
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=115 | env_steps=144579 | secs=3826.600 | episodes=68 | last_spend=7807.736 | mean_spend=8540.848 | last_tiles=23.000 | last_armies=5.000 | pg=0.004 | vf=269.597 | ent=2.643 | kl=0.011 | clipfrac=0.122 | n=245 | bc_kl=0.225 | adv_mean=5.965 | adv_std=15.457
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=116 | env_steps=153994 | secs=4073.800 | episodes=72 | last_spend=16770.780 | mean_spend=10880.137 | last_tiles=49.000 | last_armies=9.000 | pg=0.007 | vf=464.893 | ent=3.117 | kl=0.010 | clipfrac=0.106 | n=295 | bc_kl=0.265 | adv_mean=10.290 | adv_std=19.053
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=117 | env_steps=161168 | secs=4234.900 | episodes=76 | last_spend=7967.607 | mean_spend=6843.548 | last_tiles=16.000 | last_armies=5.000 | pg=0.010 | vf=70.932 | ent=2.396 | kl=0.018 | clipfrac=0.163 | n=225 | bc_kl=0.256 | adv_mean=-7.228 | adv_std=4.636
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=118 | env_steps=168945 | secs=4426.400 | episodes=80 | last_spend=13052.703 | mean_spend=9317.963 | last_tiles=28.000 | last_armies=8.000 | pg=0.003 | vf=133.372 | ent=2.404 | kl=0.006 | clipfrac=0.055 | n=244 | bc_kl=0.206 | adv_mean=3.920 | adv_std=11.004
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=119 | env_steps=177002 | secs=4613.000 | episodes=84 | last_spend=9258.357 | mean_spend=8704.775 | last_tiles=16.000 | last_armies=0.000 | pg=0.007 | vf=48.257 | ent=2.588 | kl=0.009 | clipfrac=0.116 | n=252 | bc_kl=0.245 | adv_mean=-0.425 | adv_std=7.068
eval_spend=9985.602 | eval_tiles=9.000 | eval_armies=2.500 | eval_s_spend=15990.668 | eval_s_tiles=30.000 | iter=120 | env_steps=185312 | secs=4820.700 | episodes=88 | last_spend=11689.079 | mean_spend=9991.568 | last_tiles=29.000 | last_armies=8.000 | pg=0.007 | vf=101.607 | ent=2.668 | kl=0.009 | clipfrac=0.109 | n=260 | bc_kl=0.225 | adv_mean=3.962 | adv_std=9.412
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=121 | env_steps=193010 | secs=5126.100 | episodes=92 | last_spend=8398.686 | mean_spend=8990.328 | last_tiles=24.000 | last_armies=5.000 | pg=0.002 | vf=19.020 | ent=2.586 | kl=0.008 | clipfrac=0.076 | n=241 | bc_kl=0.265 | adv_mean=0.531 | adv_std=4.448
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=122 | env_steps=200882 | secs=5315.700 | episodes=96 | last_spend=9977.984 | mean_spend=9563.085 | last_tiles=30.000 | last_armies=4.000 | pg=0.008 | vf=376.475 | ent=2.814 | kl=0.014 | clipfrac=0.133 | n=246 | bc_kl=0.239 | adv_mean=11.463 | adv_std=15.841
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=123 | env_steps=208084 | secs=5487.600 | episodes=100 | last_spend=9661.883 | mean_spend=8510.150 | last_tiles=24.000 | last_armies=4.000 | pg=0.006 | vf=72.670 | ent=2.497 | kl=0.008 | clipfrac=0.089 | n=226 | bc_kl=0.264 | adv_mean=-1.278 | adv_std=8.559
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=124 | env_steps=217360 | secs=5713.900 | episodes=104 | last_spend=4871.947 | mean_spend=6450.504 | last_tiles=5.000 | last_armies=0.000 | pg=0.012 | vf=270.888 | ent=3.332 | kl=0.019 | clipfrac=0.216 | n=290 | bc_kl=0.268 | adv_mean=-12.221 | adv_std=11.242
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=125 | env_steps=224964 | secs=5893.500 | episodes=108 | last_spend=7107.582 | mean_spend=7372.823 | last_tiles=5.000 | last_armies=0.000 | pg=0.004 | vf=543.731 | ent=2.821 | kl=0.010 | clipfrac=0.109 | n=238 | bc_kl=0.259 | adv_mean=4.996 | adv_std=22.922
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=126 | env_steps=232496 | secs=6067.700 | episodes=112 | last_spend=7037.260 | mean_spend=9017.872 | last_tiles=10.000 | last_armies=3.000 | pg=0.002 | vf=40.587 | ent=2.709 | kl=0.010 | clipfrac=0.089 | n=236 | bc_kl=0.297 | adv_mean=-1.060 | adv_std=6.409
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=127 | env_steps=241087 | secs=6276.700 | episodes=116 | last_spend=15635.688 | mean_spend=11191.939 | last_tiles=34.000 | last_armies=7.000 | pg=0.004 | vf=418.337 | ent=2.781 | kl=0.006 | clipfrac=0.062 | n=269 | bc_kl=0.249 | adv_mean=9.889 | adv_std=18.017
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=128 | env_steps=248749 | secs=6459.700 | episodes=120 | last_spend=7537.685 | mean_spend=7050.559 | last_tiles=15.000 | last_armies=4.000 | pg=0.006 | vf=103.161 | ent=2.767 | kl=0.007 | clipfrac=0.098 | n=240 | bc_kl=0.245 | adv_mean=-0.527 | adv_std=10.266
