设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_ep400.pt（缺失 0 项）
（含优化器状态）
续训自 rl/runs/ppo_exec/model.pt（第 119 块）
（训练图种子接着数：0）
★地图池：802 张（难度已筛）  从第 476 张接着数
（含回报归一化状态）
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=135 | env_steps=130627 | secs=3585.700 | episodes=64 | last_spend=9439.448 | mean_spend=9231.200 | last_tiles=19.000 | last_armies=3.000 | pg=0.007 | vf=219.232 | ent=2.771 | kl=0.012 | clipfrac=0.115 | n=246 | bc_kl=0.373 | adv_mean=3.030 | adv_std=14.634
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=136 | env_steps=138851 | secs=3798.300 | episodes=68 | last_spend=5519.964 | mean_spend=10521.382 | last_tiles=5.000 | last_armies=0.000 | pg=0.012 | vf=550.990 | ent=2.813 | kl=0.020 | clipfrac=0.177 | n=257 | bc_kl=0.291 | adv_mean=8.625 | adv_std=21.974
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=137 | env_steps=149153 | secs=4053.400 | episodes=72 | last_spend=10285.953 | mean_spend=9319.268 | last_tiles=28.000 | last_armies=4.000 | pg=0.005 | vf=144.311 | ent=3.380 | kl=0.010 | clipfrac=0.131 | n=322 | bc_kl=0.293 | adv_mean=-7.181 | adv_std=9.789
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=138 | env_steps=157020 | secs=4252.000 | episodes=76 | last_spend=6783.072 | mean_spend=8778.161 | last_tiles=14.000 | last_armies=2.000 | pg=0.005 | vf=72.277 | ent=2.544 | kl=0.008 | clipfrac=0.075 | n=246 | bc_kl=0.249 | adv_mean=1.102 | adv_std=8.551
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=139 | env_steps=165267 | secs=4456.500 | episodes=80 | last_spend=6705.638 | mean_spend=8907.266 | last_tiles=16.000 | last_armies=1.000 | pg=0.006 | vf=116.969 | ent=2.725 | kl=0.008 | clipfrac=0.084 | n=258 | bc_kl=0.276 | adv_mean=4.640 | adv_std=9.912
eval_spend=10430.222 | eval_tiles=7.500 | eval_armies=4.500 | eval_s_spend=13944.916 | eval_s_tiles=24.000 | iter=140 | env_steps=173730 | secs=4673.700 | episodes=84 | last_spend=6858.417 | mean_spend=10244.956 | last_tiles=20.000 | last_armies=5.000 | pg=0.006 | vf=138.182 | ent=2.651 | kl=0.010 | clipfrac=0.098 | n=265 | bc_kl=0.254 | adv_mean=5.924 | adv_std=10.316
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=141 | env_steps=181851 | secs=5029.100 | episodes=88 | last_spend=9617.614 | mean_spend=8528.038 | last_tiles=13.000 | last_armies=1.000 | pg=0.010 | vf=53.071 | ent=2.436 | kl=0.011 | clipfrac=0.139 | n=254 | bc_kl=0.262 | adv_mean=-4.640 | adv_std=5.819
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=142 | env_steps=190412 | secs=5236.900 | episodes=92 | last_spend=9398.625 | mean_spend=9321.090 | last_tiles=21.000 | last_armies=3.000 | pg=0.003 | vf=49.622 | ent=2.918 | kl=0.005 | clipfrac=0.046 | n=268 | bc_kl=0.293 | adv_mean=2.292 | adv_std=6.794
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=143 | env_steps=198907 | secs=5441.600 | episodes=96 | last_spend=10763.492 | mean_spend=9925.382 | last_tiles=23.000 | last_armies=1.000 | pg=0.005 | vf=58.170 | ent=3.053 | kl=0.009 | clipfrac=0.095 | n=266 | bc_kl=0.284 | adv_mean=-3.913 | adv_std=6.700
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=144 | env_steps=209323 | secs=5718.600 | episodes=100 | last_spend=10157.173 | mean_spend=8759.938 | last_tiles=26.000 | last_armies=3.000 | pg=0.006 | vf=101.670 | ent=3.228 | kl=0.014 | clipfrac=0.123 | n=326 | bc_kl=0.301 | adv_mean=5.545 | adv_std=8.580
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=145 | env_steps=217441 | secs=5914.600 | episodes=104 | last_spend=8680.320 | mean_spend=7447.450 | last_tiles=14.000 | last_armies=2.000 | pg=0.006 | vf=169.616 | ent=2.640 | kl=0.007 | clipfrac=0.121 | n=254 | bc_kl=0.294 | adv_mean=-9.331 | adv_std=9.289
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=146 | env_steps=227383 | secs=6159.000 | episodes=108 | last_spend=8024.572 | mean_spend=8137.030 | last_tiles=12.000 | last_armies=1.000 | pg=0.007 | vf=198.658 | ent=2.908 | kl=0.012 | clipfrac=0.139 | n=311 | bc_kl=0.261 | adv_mean=-8.611 | adv_std=11.322
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=147 | env_steps=235132 | secs=6347.500 | episodes=112 | last_spend=7329.196 | mean_spend=9370.691 | last_tiles=13.000 | last_armies=2.000 | pg=0.007 | vf=195.300 | ent=2.560 | kl=0.008 | clipfrac=0.093 | n=243 | bc_kl=0.259 | adv_mean=2.403 | adv_std=13.828
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=148 | env_steps=243580 | secs=6548.000 | episodes=116 | last_spend=7701.983 | mean_spend=6897.592 | last_tiles=18.000 | last_armies=6.000 | pg=0.006 | vf=373.530 | ent=2.808 | kl=0.011 | clipfrac=0.123 | n=264 | bc_kl=0.296 | adv_mean=3.176 | adv_std=19.189
