eval_spend,eval_tiles,eval_armies,eval_s_spend,eval_s_tiles,iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,bc_kl,adv_mean,adv_std
nan,nan,nan,nan,nan,132,277571,7271.3,136,8434.634,7859.975777777778,15.0,4.0,0.007,50.6314,2.4391,0.0125,0.0978,217,0.3133,-1.9266,6.973
nan,nan,nan,nan,nan,133,284480,7437.4,140,8738.285666666667,7217.378555555555,20.0,3.0,0.0028,36.3505,2.3875,0.0053,0.0579,216,0.3071,-2.2208,5.7171
nan,nan,nan,nan,nan,134,292289,7623.6,144,8444.305333333334,8670.278888888888,24.0,5.0,0.006,57.6847,2.6274,0.0108,0.1153,245,0.2449,5.3867,5.575
nan,nan,nan,nan,nan,135,300647,7815.7,148,9688.902333333335,8551.09188888889,23.0,5.0,0.0064,127.8171,2.9608,0.0122,0.1378,262,0.3004,-2.2587,11.2266
nan,nan,nan,nan,nan,136,310174,8038.6,152,10967.622000000003,9869.199222222223,27.0,1.0,0.0044,30.3435,3.0764,0.0073,0.0815,298,0.2833,1.5337,5.4438
nan,nan,nan,nan,nan,137,318854,8250.5,156,10630.769666666665,9539.923888888889,17.0,1.0,0.004,12.9419,2.7905,0.0065,0.0793,272,0.2279,0.5421,3.6909
nan,nan,nan,nan,nan,138,326832,8434.0,160,7693.329666666665,7450.977555555556,18.0,5.0,0.0064,169.7216,2.5541,0.013,0.1337,250,0.307,1.0612,13.1197
nan,nan,nan,nan,nan,139,335431,8645.4,164,7066.641999999998,10072.937222222221,17.0,3.0,0.0077,232.6409,2.8066,0.0162,0.1674,269,0.2889,10.4436,11.3243
11489.0015,10.5,7.5,12271.20833333333,13.5,140,344323,8858.1,168,8706.598666666667,10220.16022222222,23.0,4.0,0.004,85.5794,2.969,0.0075,0.0907,278,0.2638,4.8745,8.0114
nan,nan,nan,nan,nan,141,353087,9202.5,172,13199.588333333335,10614.764222222222,27.0,1.0,0.0029,66.8576,3.0881,0.007,0.09,274,0.2678,3.3611,7.6082
