设备：cuda
（新头随机初始化：2 项缺失 · ['exec_head.weight', 'exec_head.bias']）
续训自 rl/runs/bc_cont/ep100.pt（第 0 块）
★地图池：251 张（难度已筛）  从第 0 张接着数
  ★辅助头 warmup（第 1/1 块，策略冻结）
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=17 | env_steps=133460 | secs=1933.100 | episodes=68 | last_spend=13367.107 | mean_spend=9677.843 | last_tiles=21.000 | last_armies=8.000 | pg=0.009 | vf=3.941 | ent=2.694 | kl=0.025 | clipfrac=0.229 | n=216 | adv_mean=-0.819 | adv_std=1.933
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=18 | env_steps=141542 | secs=2049.000 | episodes=72 | last_spend=10125.461 | mean_spend=10434.833 | last_tiles=26.000 | last_armies=4.000 | pg=0.015 | vf=4.008 | ent=2.689 | kl=0.021 | clipfrac=0.207 | n=253 | adv_mean=-1.207 | adv_std=1.749
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=19 | env_steps=150990 | secs=2184.400 | episodes=76 | last_spend=12925.330 | mean_spend=11876.549 | last_tiles=24.000 | last_armies=0.000 | pg=0.014 | vf=3.166 | ent=2.909 | kl=0.025 | clipfrac=0.238 | n=296 | adv_mean=-0.287 | adv_std=1.876
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=20 | env_steps=158961 | secs=2298.400 | episodes=80 | last_spend=14265.845 | mean_spend=10252.812 | last_tiles=24.000 | last_armies=0.000 | pg=0.009 | vf=1.393 | ent=2.705 | kl=0.020 | clipfrac=0.223 | n=250 | adv_mean=-0.609 | adv_std=1.139
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=21 | env_steps=169013 | secs=2448.800 | episodes=84 | last_spend=12669.138 | mean_spend=12208.118 | last_tiles=16.000 | last_armies=9.000 | pg=0.016 | vf=1.254 | ent=2.860 | kl=0.020 | clipfrac=0.244 | n=315 | adv_mean=-0.099 | adv_std=1.218
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=22 | env_steps=175560 | secs=2543.400 | episodes=88 | last_spend=6592.892 | mean_spend=6167.876 | last_tiles=15.000 | last_armies=5.000 | pg=0.015 | vf=1.641 | ent=2.867 | kl=0.018 | clipfrac=0.188 | n=205 | adv_mean=-0.811 | adv_std=1.152
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=23 | env_steps=182801 | secs=2650.700 | episodes=92 | last_spend=9703.534 | mean_spend=8572.347 | last_tiles=20.000 | last_armies=4.000 | pg=0.010 | vf=0.949 | ent=2.734 | kl=0.021 | clipfrac=0.176 | n=227 | adv_mean=-0.372 | adv_std=1.031
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=24 | env_steps=189259 | secs=2744.700 | episodes=96 | last_spend=7222.140 | mean_spend=8555.980 | last_tiles=11.000 | last_armies=1.000 | pg=0.010 | vf=1.362 | ent=2.938 | kl=0.017 | clipfrac=0.154 | n=202 | adv_mean=-0.534 | adv_std=1.149
eval_spend=6766.696 | eval_tiles=8.250 | eval_armies=2.875 | eval_s_spend=9023.897 | eval_s_tiles=13.625 | iter=25 | env_steps=195601 | secs=2835.200 | episodes=100 | last_spend=6468.803 | mean_spend=6739.379 | last_tiles=11.000 | last_armies=0.000 | pg=0.006 | vf=0.700 | ent=2.820 | kl=0.013 | clipfrac=0.156 | n=199 | adv_mean=-0.382 | adv_std=0.861
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=26 | env_steps=203453 | secs=3302.600 | episodes=104 | last_spend=8383.187 | mean_spend=12472.483 | last_tiles=17.000 | last_armies=6.000 | pg=0.007 | vf=1.421 | ent=2.878 | kl=0.017 | clipfrac=0.196 | n=246 | adv_mean=0.549 | adv_std=1.185
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=27 | env_steps=210591 | secs=3407.100 | episodes=108 | last_spend=11373.893 | mean_spend=8233.066 | last_tiles=24.000 | last_armies=4.000 | pg=0.012 | vf=0.585 | ent=2.953 | kl=0.011 | clipfrac=0.154 | n=224 | adv_mean=-0.161 | adv_std=0.868
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=28 | env_steps=217749 | secs=3514.700 | episodes=112 | last_spend=10758.521 | mean_spend=10187.339 | last_tiles=29.000 | last_armies=2.000 | pg=0.009 | vf=0.456 | ent=2.795 | kl=0.017 | clipfrac=0.206 | n=224 | adv_mean=0.046 | adv_std=0.791
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=29 | env_steps=224272 | secs=3609.600 | episodes=116 | last_spend=7835.752 | mean_spend=6462.954 | last_tiles=12.000 | last_armies=4.000 | pg=0.011 | vf=0.597 | ent=2.916 | kl=0.012 | clipfrac=0.171 | n=204 | adv_mean=-0.568 | adv_std=0.690
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=30 | env_steps=230409 | secs=3698.100 | episodes=120 | last_spend=4817.417 | mean_spend=7576.791 | last_tiles=5.000 | last_armies=0.000 | pg=0.007 | vf=0.314 | ent=2.871 | kl=0.014 | clipfrac=0.169 | n=192 | adv_mean=0.083 | adv_std=0.647
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=31 | env_steps=236910 | secs=3788.800 | episodes=124 | last_spend=5396.747 | mean_spend=5662.817 | last_tiles=6.000 | last_armies=0.000 | pg=0.011 | vf=0.287 | ent=2.925 | kl=0.022 | clipfrac=0.218 | n=204 | adv_mean=-0.442 | adv_std=0.488
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=32 | env_steps=243220 | secs=3880.400 | episodes=128 | last_spend=4029.252 | mean_spend=7981.191 | last_tiles=5.000 | last_armies=1.000 | pg=0.007 | vf=0.627 | ent=2.876 | kl=0.021 | clipfrac=0.190 | n=198 | adv_mean=0.494 | adv_std=0.776
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=33 | env_steps=250420 | secs=3986.200 | episodes=132 | last_spend=10346.278 | mean_spend=7295.157 | last_tiles=22.000 | last_armies=0.000 | pg=0.007 | vf=0.164 | ent=2.898 | kl=0.017 | clipfrac=0.181 | n=225 | adv_mean=0.072 | adv_std=0.489
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=34 | env_steps=258593 | secs=4105.600 | episodes=136 | last_spend=10488.446 | mean_spend=8461.786 | last_tiles=20.000 | last_armies=4.000 | pg=0.009 | vf=0.190 | ent=3.110 | kl=0.018 | clipfrac=0.207 | n=256 | adv_mean=0.006 | adv_std=0.532
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=35 | env_steps=266880 | secs=4224.000 | episodes=140 | last_spend=7584.198 | mean_spend=7802.637 | last_tiles=5.000 | last_armies=0.000 | pg=0.012 | vf=0.088 | ent=3.156 | kl=0.020 | clipfrac=0.228 | n=259 | adv_mean=0.078 | adv_std=0.393
